Apr 07 03:10:53 - [INFO] - Resource cache is now at 137MB
Apr 07 03:10:54 - [DEBUG] - Creating a Text texture
Apr 07 03:10:55 - [DEBUG] - Creating a Text texture
Apr 07 03:10:56 - [DEBUG] - Creating a Text texture
Apr 07 03:10:57 - [DEBUG] - Creating a Text texture
Apr 07 03:10:58 - [DEBUG] - Creating a Text texture
Apr 07 03:10:59 - [DEBUG] - Creating a Text texture
Apr 07 03:11:00 - [DEBUG] - Creating a Text texture
Apr 07 03:11:01 - [DEBUG] - Creating a Text texture
Apr 07 03:11:02 - [DEBUG] - Creating a Text texture
Apr 07 03:11:03 - [DEBUG] - Creating a Text texture
Apr 07 03:11:04 - [DEBUG] - Creating a Text texture
Apr 07 03:11:05 - [DEBUG] - Creating a Text texture
Apr 07 03:11:06 - [DEBUG] - Creating a Text texture
Apr 07 03:11:07 - [DEBUG] - Creating a Text texture
Apr 07 03:11:08 - [DEBUG] - Creating a Text texture
Apr 07 03:11:09 - [DEBUG] - Creating a Text texture
Apr 07 03:11:10 - [DEBUG] - Creating a Text texture
Apr 07 03:11:11 - [DEBUG] - Creating a Text texture
Apr 07 03:11:11 - [INFO] - CLICKED - Iso Coords: 8, 11
Apr 07 03:11:12 - [DEBUG] - Creating a Text texture
Apr 07 03:11:13 - [DEBUG] - Creating a Text texture
Apr 07 03:11:14 - [DEBUG] - Creating a Text texture
Apr 07 03:11:15 - [DEBUG] - Creating a Text texture
Apr 07 03:11:16 - [DEBUG] - Creating a Text texture
Apr 07 03:11:17 - [DEBUG] - Creating a Text texture
Apr 07 03:11:18 - [DEBUG] - Creating a Text texture
Apr 07 03:11:19 - [DEBUG] - Creating a Text texture
Apr 07 03:11:20 - [DEBUG] - Creating a Text texture
Apr 07 03:11:21 - [DEBUG] - Creating a Text texture
Apr 07 03:11:22 - [DEBUG] - Creating a Text texture
Apr 07 03:11:23 - [DEBUG] - Creating a Text texture
Apr 07 03:11:24 - [DEBUG] - Creating a Text texture
Apr 07 03:11:25 - [DEBUG] - Creating a Text texture
Apr 07 03:11:26 - [DEBUG] - Creating a Text texture
Apr 07 03:11:27 - [DEBUG] - Creating a Text texture
Apr 07 03:11:28 - [DEBUG] - Creating a Text texture
Apr 07 03:11:29 - [DEBUG] - Creating a Text texture
Apr 07 03:11:30 - [DEBUG] - Creating a Text texture
Apr 07 03:11:31 - [DEBUG] - Creating a Text texture
Apr 07 03:11:32 - [DEBUG] - Creating a Text texture
Apr 07 03:11:32 - [DEBUG] - Creating a Text texture
Apr 07 03:11:33 - [DEBUG] - Creating a Text texture
Apr 07 03:11:33 - [DEBUG] - Creating a Text texture
Apr 07 03:11:33 - [DEBUG] - Creating a Text texture
